codi_barri,pes_atur,mean_household_income,mean_person_income,incoming_rate_1000hab,outcoming_rate_1000hab,poblacio,densitat_neta,norm_centre_civic_count,norm_police_office_count,norm_pharmacy,norm_accident_count,norm_animal_per_population,norm_hotel_count,norm_hospitals_and_clinics,norm_total_cars,norm_tourist_accomodation_count,norm_pension_count,norm_caps,norm_trees_count,mean_household_income_categorical,nom_barri,by_sea
39,7.675,34626.4,14245.4,68.6,59.5,6725,371.7,0.00014869888475836432,0.0,0.0007434944237918215,0.007137546468401487,0.04715187603127915,0.0,0.0,0.10423791821561339,0.00014869888475836432,0.0,0.0,0.08505576208178439,Low,Sant Genís dels Agudells,False
40,8.016666666666667,36333.25,15805.25,76.3,69.8,5053,440.9,0.0,0.0,0.0009895111814763506,0.008311893924401346,0.04715187603127914,0.0,0.0005937067088858105,0.11755392835939046,0.0,0.0,0.00019790223629527012,0.24084702157134374,Medium,Montbau,False
41,7.691666666666666,42568.75,17850.0,49.1,41.3,5686,731.5,0.0,0.00017587055926837847,0.00035174111853675694,0.0163559620119592,0.04715187603127915,0.00017587055926837847,0.0,0.1322106929300035,0.00017587055926837847,0.0,0.0,0.371262750615547,Medium,la Vall d'Hebron,False
42,3.875,37234.0,15605.0,33.4,56.6,583,95.2,0.0,0.0,0.0,0.018867924528301886,0.04715187603127914,0.0,0.0,0.6740994854202401,0.0,0.0,0.0,0.19725557461406518,Medium,la Clota,False
43,8.783333333333333,38851.80952380953,16341.90476190476,67.7,63.8,26541,418.8,3.7677555480200444e-05,0.0,0.0006781959986436081,0.0052371802117478616,0.04715187603127915,3.7677555480200444e-05,7.535511096040089e-05,0.02305148727664835,0.00011303266644060134,3.7677555480200444e-05,3.7677555480200444e-05,0.04589126257488414,Medium,Horta,False
44,8.908333333333333,36600.26315789474,15512.421052631578,68.5,63.7,25508,879.7,3.920338717265172e-05,0.0,0.0005880508075897758,0.003332287909675396,0.0542877014176422,0.0,3.920338717265172e-05,0.022936044832168236,0.0,7.840677434530344e-05,7.840677434530344e-05,0.015210914222988866,Medium,Vilapicina i la Torre Llobeta,False
45,7.808333333333334,31870.11111111111,13601.333333333334,71.5,72.1,24519,697.3,4.078469758146743e-05,0.0,0.0006525551613034789,0.0030588523186100575,0.0542877014176422,4.078469758146743e-05,0.0,0.022381735706096407,0.0,4.078469758146743e-05,0.0,0.030751661976426446,Low,Porta,False
46,8.525,29063.2,11793.9,85.8,79.3,15364,1143.9,6.508721687060662e-05,0.0,0.00039052330122363966,0.002668575891694871,0.054287701417642206,0.0,0.0,0.035576672741473574,0.0,0.0,6.508721687060662e-05,0.018354595157511065,Low,el Turó de la Peira,False
47,8.933333333333334,24768.5,10852.0,46.7,46.3,2258,372.7,0.0,0.0,0.0008857395925597874,0.001771479185119575,0.0542877014176422,0.0,0.0,0.2145704162976085,0.0,0.0,0.0,0.01815766164747564,Low,Can Peguera,False
48,11.183333333333332,37252.09090909091,15491.272727272728,57.7,50.9,15043,674.0,0.0,6.647610184138802e-05,0.0006647610184138802,0.003988566110483281,0.0542877014176422,0.0,0.0,0.041233312987617315,0.0,0.0,6.647610184138802e-05,0.07897360898756897,Medium,la Guineueta,False
49,12.341666666666669,35878.2,14942.4,37.8,29.9,6923,622.1,0.0,0.0,0.0005777841976021956,0.006644518272425249,0.0542877014176422,0.0,0.0,0.10582117579084212,0.0,0.0,0.0,0.0658673985266503,Medium,Canyelles,False
50,9.683333333333334,27466.8,10658.7,72.2,80.3,15398,845.7,0.0,0.0,0.000519547993245876,0.003052344460319522,0.0542877014176422,0.0,0.0,0.04456422912066502,0.0,0.0,6.49434991557345e-05,0.022080789712949734,Low,les Roquetes,False
51,9.783333333333331,27021.875,11444.75,65.7,73.4,1226,859.1,0.0,0.0,0.0065252854812398045,0.013050570962479609,0.054287701417642206,0.0,0.0008156606851549756,0.49031402936378465,0.0,0.0,0.0,0.1859706362153344,Low,Verdun,False
52,9.491666666666667,30473.0,12873.7,65.3,65.6,26167,957.2,0.0,0.0,0.0005350250315282608,0.003324798410211335,0.054287701417642206,0.0,0.0,0.021154507585890624,0.0,0.0,3.821607368059006e-05,0.025490121144953568,Low,la Prosperitat,False
53,14.058333333333332,26021.6,10268.6,70.3,74.7,7257,577.4,0.0,0.00027559597629874606,0.0005511919525974921,0.007992283312663636,0.05428770141764221,0.0,0.0,0.07826925726884387,0.0,0.0,0.00013779798814937303,0.14744384731982912,Low,la Trinitat Nova,False
54,10.108333333333333,28939.0,9813.5,36.3,37.4,2791,131.7,0.0,0.0,0.0,0.00680759584378359,0.054287701417642206,0.0,0.0,0.2715872447151559,0.0,0.0,0.0007165890361877463,0.061268362594052314,Low,Torre Baró,False
55,14.441666666666668,25807.83333333333,8921.5,60.3,65.8,10041,663.0,9.959167413604223e-05,0.0,0.0004979583706802111,0.00089632506722438,0.0542877014176422,0.0,0.0,0.06241078245858646,0.0,0.0,0.0,0.10178269096703516,Low,Ciutat Meridiana,False
56,13.458333333333334,27854.0,10132.0,52.0,36.8,1352,199.1,0.0,0.0,0.0007396449704142012,0.0029585798816568047,0.054287701417642206,0.0,0.0,0.5576923076923077,0.0,0.0,0.0,0.14718934911242604,Low,Vallbona,False
57,13.8,28439.8,10208.8,69.8,70.2,10032,790.3,9.968102073365231e-05,0.0,0.0007974481658692185,0.00817384370015949,0.0584191898091582,0.0,0.0,0.08203748006379585,0.0,0.0,9.968102073365231e-05,0.1484250398724083,Low,la Trinitat Vella,False
58,7.133333333333333,26023.0,10154.5,35.9,31.0,2507,641.0,0.00039888312724371757,0.0,0.0007977662544874351,0.011168727562824093,0.058419189809158195,0.0,0.0,0.2225767850019944,0.0,0.0,0.0,0.16035101715197447,Low,Baró de Viver,False
59,7.833333333333333,33462.28571428572,12811.57142857143,58.9,62.1,12589,704.0,7.943442688061006e-05,0.0,0.0007943442688061005,0.010961950909524188,0.058419189809158195,7.943442688061006e-05,0.0,0.08776369392780546,0.0,0.0,7.943442688061006e-05,0.09937246802764318,Low,el Bon Pastor,False
60,7.916666666666667,40272.8717948718,17034.5641025641,54.1,51.1,56683,738.1,1.7641973784026958e-05,3.5283947568053916e-05,0.0007233209251451052,0.0031226293597727715,0.058419189809158195,0.0,3.5283947568053916e-05,0.0120485633778861,1.7641973784026958e-05,0.0,5.292592135208087e-05,0.02812130621173897,Medium,Sant Andreu,False
61,7.366666666666667,38087.4,15848.55,65.0,59.3,28796,728.2,3.4727045422975414e-05,3.4727045422975414e-05,0.000590359772190582,0.0028128906792610083,0.0584191898091582,3.4727045422975414e-05,3.4727045422975414e-05,0.022067301014029726,0.0,0.0,3.4727045422975414e-05,0.017050979302680926,Medium,la Sagrera,False
62,6.925,37356.333333333336,15852.666666666666,69.9,62.8,14044,729.6,7.120478496154942e-05,0.0,0.0007120478496154941,0.00370264881800057,0.0584191898091582,0.0,0.0,0.047746764138105635,0.0,0.0,0.0,0.015522643121617772,Medium,el Congrés i els Indians,False
63,7.15,38468.53846153846,16266.307692307691,63.8,60.3,2208,981.4,0.0004528985507246377,0.0,0.005434782608695652,0.03260869565217391,0.058419189809158195,0.0,0.0,0.34493450390189523,0.0,0.0,0.0,0.10190217391304347,Medium,Navas,False
64,7.666666666666667,38075.76,16640.76,71.6,71.8,38104,886.8,0.0,2.624396388830569e-05,0.0004986353138778081,0.004225278186017216,0.048252176763142515,0.00010497585555322275,2.624396388830569e-05,0.01760025194205333,7.873189166491708e-05,5.248792777661138e-05,2.624396388830569e-05,0.005143816922107915,Medium,el Camp de l'Arpa del Clot,False
65,7.658333333333334,40170.0,16643.41176470588,61.8,56.5,26898,1139.0,3.71774853148933e-05,0.0,0.0005948397650382928,0.005985575135697822,0.04825217676314252,0.0,0.0,0.02632603342474621,3.71774853148933e-05,0.0,3.71774853148933e-05,0.015837608744144548,Medium,el Clot,False
66,6.316666666666666,40953.444444444445,17586.555555555555,69.9,67.1,14838,745.3,6.739452756436177e-05,6.739452756436177e-05,0.0006739452756436178,0.0051893786224558565,0.048252176763142515,0.0007413398032079795,6.739452756436177e-05,0.07245660541252939,0.0003369726378218089,0.0,0.0,0.05162420811430112,Medium,el Parc i la Llacuna del Poblenou,False
67,6.816666666666666,61892.6,23560.0,61.1,53.7,9335,386.1,0.0,0.0,0.00096411355115158,0.009855382967327263,0.048252176763142515,0.00021424745581146223,0.0,0.11950723085163363,0.0,0.0,0.00010712372790573112,0.045313336904124264,Very High,la Vila Olímpica del Poblenou,False
68,6.508333333333333,42883.45,17531.65,69.7,66.9,33586,789.1,2.9774310724706724e-05,0.0,0.0007741320788423748,0.004257726433633062,0.048252176763142515,0.00029774310724706724,0.0,0.024889835050318585,5.954862144941345e-05,2.9774310724706724e-05,2.9774310724706724e-05,0.023134639433097123,Medium,el Poblenou,True
69,8.375,46815.71428571428,18755.714285714286,59.2,52.1,13397,581.9,0.0,0.0,0.0005225050384414421,0.007091139807419572,0.04825217676314252,0.0008210793461222662,0.0,0.06537711001396901,0.0,0.0,7.464357692020602e-05,0.049637978651937004,High,Diagonal Mar i el Front Marítim del Poblenou,True
70,9.408333333333331,29956.153846153848,11355.692307692309,79.2,76.3,22746,887.8,4.396377385034731e-05,0.0,0.0006154928339048624,0.004176558515782995,0.048252176763142515,4.396377385034731e-05,4.396377385034731e-05,0.02980743867053548,8.792754770069463e-05,0.0,4.396377385034731e-05,0.03077464169524312,Low,el Besòs i el Maresme,True
71,7.583333333333333,38873.583333333336,15427.5,58.1,51.6,20369,1510.9,0.0,4.909421179242967e-05,0.0006382247533015858,0.007167754921694732,0.04825217676314252,9.818842358485934e-05,4.909421179242967e-05,0.044332073248563995,4.909421179242967e-05,0.0,0.0,0.040993666846678774,Medium,Provençals del Poblenou,True
72,8.891666666666667,36274.22222222222,14948.166666666666,54.0,48.7,2601,1148.6,0.00038446751249519417,0.00038446751249519417,0.006151480199923107,0.022683583237216455,0.048252176763142515,0.0,0.0,0.2496262121406297,0.0,0.0,0.0007689350249903883,0.2179930795847751,Medium,Sant Martí de Provençals,False
73,9.283333333333331,34605.857142857145,13869.285714285714,51.7,43.7,28645,714.3,0.0,0.0,0.0006632920230406703,0.0023389771338802583,0.048252176763142515,0.0,0.0,0.021737359632280212,0.0,0.0,3.491010647582475e-05,0.046395531506371095,Low,la Verneda i la Pau,False
