codi_barri,total_cars
1,571.7142857142857
2,1285.0
3,585.5454545454545
4,886.0
5,735.85
6,668.0588235294117
7,1050.655172413793
8,894.3846153846154
9,724.275
10,664.0
11,601.5
12,10282.0
13,834.1176470588235
14,702.8571428571429
15,666.0
16,648.9230769230769
17,642.125
18,603.2413793103449
19,785.6285714285714
20,881.0666666666667
21,1375.2857142857142
22,1106.6666666666667
23,1033.1875
24,1155.090909090909
25,1018.1111111111112
26,1180.8709677419354
27,913.8947368421052
28,834.6363636363636
29,765.2
30,712.6
31,619.75
32,673.68
33,619.3157894736842
34,708.1428571428571
35,706.96
36,854.2857142857143
37,680.5909090909091
38,744.125
39,701.0
40,594.0
41,751.75
42,393.0
43,611.8095238095239
44,585.0526315789474
45,548.7777777777778
46,546.6
47,484.5
48,620.2727272727273
49,732.6
50,686.2
51,601.125
52,553.55
53,568.0
54,758.0
55,626.6666666666666
56,754.0
57,823.0
58,558.0
59,1104.857142857143
60,682.9487179487179
61,635.45
62,670.5555555555555
63,761.6153846153846
64,670.64
65,708.1176470588235
66,1075.111111111111
67,1115.6
68,835.95
69,875.8571428571429
70,678.0
71,903.0
72,649.2777777777778
73,622.6666666666666
