"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Moviment","Taxa_mil_hab"
"2021","7","Horta-Guinardó",36,"la Font d'en Fargues","Baixa","42.0"
"2021","7","Horta-Guinardó",37,"el Carmel","Alta","68.2"
"2021","7","Horta-Guinardó",37,"el Carmel","Baixa","70.4"
"2021","7","Horta-Guinardó",38,"la Teixonera","Alta","69.9"
"2021","7","Horta-Guinardó",38,"la Teixonera","Baixa","67.6"
"2021","7","Horta-Guinardó",39,"Sant Genís dels Agudells","Alta","68.6"
"2021","7","Horta-Guinardó",39,"Sant Genís dels Agudells","Baixa","59.5"
"2021","7","Horta-Guinardó",40,"Montbau","Alta","76.3"
"2021","7","Horta-Guinardó",40,"Montbau","Baixa","69.8"
"2021","7","Horta-Guinardó",41,"la Vall d'Hebron","Alta","49.1"
"2021","7","Horta-Guinardó",41,"la Vall d'Hebron","Baixa","41.3"
"2021","7","Horta-Guinardó",42,"la Clota","Alta","33.4"
"2021","7","Horta-Guinardó",42,"la Clota","Baixa","56.6"
"2021","7","Horta-Guinardó",43,"Horta","Alta","67.7"
"2021","7","Horta-Guinardó",43,"Horta","Baixa","63.8"
"2021","8","Nou Barris",44,"Vilapicina i la Torre Llobeta","Alta","68.5"
"2021","8","Nou Barris",44,"Vilapicina i la Torre Llobeta","Baixa","63.7"
"2021","8","Nou Barris",45,"Porta","Alta","71.5"
"2021","8","Nou Barris",45,"Porta","Baixa","72.1"
"2021","8","Nou Barris",46,"el Turó de la Peira","Alta","85.8"
"2021","8","Nou Barris",46,"el Turó de la Peira","Baixa","79.3"
"2021","8","Nou Barris",47,"Can Peguera","Alta","46.7"
"2021","8","Nou Barris",47,"Can Peguera","Baixa","46.3"
"2021","8","Nou Barris",48,"la Guineueta","Alta","57.7"
"2021","8","Nou Barris",48,"la Guineueta","Baixa","50.9"
"2021","8","Nou Barris",49,"Canyelles","Alta","37.8"
"2021","8","Nou Barris",49,"Canyelles","Baixa","29.9"
